shipment_id,order_id,dispatch_date,expected_delivery_date,actual_delivery_date,delivered_qty,freight_cost,region
SHP_ORD_0000001,ORD_0000001,2023-01-02,2023-01-07,2023-01-07,7,64.0,North
SHP_ORD_0000002,ORD_0000002,2023-01-02,2023-01-07,2023-01-07,23,96.0,North
SHP_ORD_0000003,ORD_0000003,2023-01-02,2023-01-04,2023-01-04,27,104.0,North
SHP_ORD_0000004,ORD_0000004,2023-01-03,2023-01-08,2023-01-08,23,96.0,North
SHP_ORD_0000005,ORD_0000005,2023-01-03,2023-01-05,2023-01-05,20,90.0,North
SHP_ORD_0000006,ORD_0000006,2023-01-03,2023-01-06,2023-01-06,31,112.0,North
SHP_ORD_0000007,ORD_0000007,2023-01-03,2023-01-07,2023-01-07,6,62.0,North
SHP_ORD_0000008,ORD_0000008,2023-01-03,2023-01-06,2023-01-06,26,102.0,North
SHP_ORD_0000009,ORD_0000009,2023-01-02,2023-01-06,2023-01-09,12,111.0,North
SHP_ORD_0000010,ORD_0000010,2023-01-03,2023-01-05,2023-01-05,5,60.0,North
SHP_ORD_0000011,ORD_0000011,2023-01-03,2023-01-05,2023-01-05,26,102.0,North
SHP_ORD_0000012,ORD_0000012,2023-01-03,2023-01-07,2023-01-07,32,114.0,North
SHP_ORD_0000013,ORD_0000013,2023-01-03,2023-01-06,2023-01-08,24,147.0,North
SHP_ORD_0000014,ORD_0000014,2023-01-03,2023-01-07,2023-01-07,30,110.0,North
SHP_ORD_0000015,ORD_0000015,2023-01-02,2023-01-07,2023-01-07,26,102.0,North
SHP_ORD_0000016,ORD_0000016,2023-01-03,2023-01-06,2023-01-06,30,110.0,North
SHP_ORD_0000017,ORD_0000017,2023-01-03,2023-01-05,2023-01-05,30,110.0,North
SHP_ORD_0000018,ORD_0000018,2023-01-03,2023-01-06,2023-01-06,9,68.0,North
SHP_ORD_0000019,ORD_0000019,2023-01-03,2023-01-07,2023-01-07,31,112.0,North
SHP_ORD_0000020,ORD_0000020,2023-01-02,2023-01-07,2023-01-07,16,82.0,North
